id,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0judK8TqYfvwUohBngUxrE,Dogtooth,"Tyler, The Creator",0.706,0.648,8,-6.348,1,0.324,0.505,0.0,0.215,0.802,77.533,4
7oLKoGzQVwjZ91AzCn560T,Painting Pictures,Superstar Pride,0.956,0.515,11,-9.962,0,0.337,0.305,0.0,0.156,0.69,119.937,4
2L9N0zZnd37dwF0clgxMGI,Ceilings,Lizzy McAlpine,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,3
5AihIu9yF3flkw1jFMyfwW,Human,Cody Johnson,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,4
7iTTWHbr4tAlsRJN4m4bay,Strike (Holster),Lil Yachty,0.851,0.642,1,-5.281,1,0.216,0.0658,0.0,0.0713,0.701,143.091,4
0JtgoDDf0ggWaoXCGhcOoT,Sunrise,Morgan Wallen,0.613,0.765,2,-5.058,0,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,4
0u8rZGtXJrLtiSe34FPjGG,Like Crazy,Jimin,0.623,0.755,7,-5.386,1,0.0415,0.00306,0.0,0.387,0.32,119.957,4
3ZEno9fORwMA1HPecdLi0R,Happy,NF,0.732,0.855,7,-4.064,1,0.0415,0.306,0.0,0.12,0.221,106.004,4
2RbIoEQeXBoJzWt09eitEI,5 Leaf Clover,Luke Combs,0.423,0.58,1,-4.959,1,0.0243,0.0554,2.92e-06,0.168,0.336,82.755,3
1yHVHoz6Ny29gbbWJYVnFt,Heaven,Niall Horan,0.571,0.761,5,-3.485,1,0.0261,0.0708,0.0,0.331,0.681,91.991,4
5kB6WithhB8Iv08EMNmAbt,Memory Lane,Old Dominion,0.645,0.8,6,-4.272,1,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,4
4sx6NRwL6Ol3V6m9exwGlQ,Love Again,The Kid LAROI,0.662,0.398,11,-6.691,0,0.0275,0.716,0.0,0.111,0.468,107.001,4
3oZ6dlSfCE9gZ55MGPJctc,'98 Braves,Morgan Wallen,0.488,0.67,2,-5.759,1,0.0268,0.0969,0.00022,0.257,0.484,142.139,4
4aSRUXfKuBbmje0eXNukuL,It Matters To Her,Scotty McCreery,0.516,0.752,7,-5.09,1,0.0333,0.00528,3.78e-05,0.251,0.482,105.007,4
